id;k1;b1;D1;p-value linear 1;R_score1;AIC_linear1;kef x^2 (1);kef x (1);kef 1 (1);p-value quadr 1;R_score quadr 1;AIC_quadr1
0442;-1.781;13.789;1.781;0.000;0.999;-98.783;-0.002;-1.766;13.766;0.000;0.999;-96.930
0444;-2.020;15.617;2.020;0.000;0.995;-22.002;0.040;-2.301;16.044;0.000;0.996;-24.630
0445;-1.969;15.281;1.969;0.000;0.998;-58.000;0.018;-2.096;15.475;0.000;0.999;-58.971
0446;-1.882;12.486;1.882;0.000;0.997;-46.205;-0.003;-1.863;12.457;0.000;0.997;-44.250
0447;-1.875;14.247;1.875;0.000;0.999;-88.282;-0.011;-1.801;14.134;0.000;0.999;-88.940
0449;-1.950;14.332;1.950;0.000;0.999;-69.961;-0.032;-1.728;13.994;0.000;0.999;-84.143
0450;-1.943;14.786;1.943;0.000;0.998;-57.582;0.036;-2.193;15.166;0.000;0.999;-68.777
0452;-1.851;13.204;1.851;0.000;0.998;-56.791;0.004;-1.876;13.242;0.000;0.998;-54.896
0453;-1.910;12.815;1.910;0.000;0.998;-56.241;-0.053;-1.546;12.261;0.000;0.999;-92.180
0454;-1.873;13.453;1.873;0.000;0.998;-49.202;0.022;-2.027;13.688;0.000;0.998;-50.493
0455;-1.737;12.196;1.737;0.000;0.999;-82.615;0.009;-1.801;12.294;0.000;0.999;-82.254
0456;-1.927;14.234;1.927;0.000;0.997;-44.068;0.006;-1.968;14.296;0.000;0.997;-42.256
0457;-1.838;12.944;1.838;0.000;0.999;-94.629;-0.000;-1.836;12.940;0.000;0.999;-92.632
0458;-1.887;14.197;1.887;0.000;0.999;-80.640;-0.028;-1.690;13.896;0.000;1.000;-97.480
0460;-1.827;12.559;1.827;0.000;0.999;-68.146;-0.004;-1.799;12.517;0.000;0.999;-66.332
0461;-1.956;14.386;1.956;0.000;0.996;-26.633;0.041;-2.237;14.814;0.000;0.996;-30.118
0462;-1.926;12.951;1.926;0.000;0.999;-70.045;0.004;-1.957;12.998;0.000;0.999;-68.289
0463;-1.943;15.004;1.943;0.000;0.998;-51.864;0.004;-1.973;15.050;0.000;0.998;-49.991
0464;-1.903;13.478;1.903;0.000;0.995;-23.336;-0.086;-1.310;12.575;0.000;0.998;-53.702
0465;-1.967;15.731;1.967;0.000;0.999;-71.292;-0.005;-1.932;15.678;0.000;0.999;-69.621
0466;-1.927;14.474;1.927;0.000;0.999;-70.986;-0.032;-1.704;14.134;0.000;0.999;-86.196
0467;-1.929;13.758;1.929;0.000;0.999;-75.525;-0.003;-1.906;13.722;0.000;0.999;-73.695
0468;-1.960;14.522;1.960;0.000;0.997;-35.824;-0.041;-1.675;14.088;0.000;0.997;-41.693
0469;-1.991;15.798;1.991;0.000;0.998;-56.615;-0.011;-1.913;15.680;0.000;0.998;-55.638
0470;-1.919;13.990;1.919;0.000;0.999;-83.070;0.023;-2.076;14.228;0.000;0.999;-92.558
0471;-1.950;13.733;1.950;0.000;0.996;-28.313;0.016;-2.060;13.902;0.000;0.996;-27.149
0472;-1.898;14.500;1.898;0.000;0.997;-39.172;0.019;-2.031;14.704;0.000;0.997;-38.916
0473;-2.003;15.501;2.003;0.000;0.997;-34.667;0.040;-2.281;15.925;0.000;0.997;-39.806
0474;-1.907;14.506;1.907;0.000;0.998;-52.466;0.031;-2.119;14.828;0.000;0.998;-57.849
0475;-1.962;14.437;1.962;0.000;0.998;-52.067;0.028;-2.159;14.737;0.000;0.998;-56.239
0476;-1.859;12.922;1.859;0.000;0.995;-24.829;-0.024;-1.690;12.664;0.000;0.995;-24.599
0477;-2.017;14.738;2.017;0.000;0.998;-46.889;0.020;-2.156;14.951;0.000;0.998;-47.368
0479;-1.969;14.995;1.969;0.000;0.997;-41.929;0.016;-2.082;15.167;0.000;0.997;-41.281
0480;-1.887;14.930;1.887;0.000;0.999;-82.685;0.006;-1.930;14.996;0.000;0.999;-81.407
0481;-1.934;14.329;1.934;0.000;0.996;-29.725;-0.010;-1.865;14.223;0.000;0.996;-28.066
0482;-1.980;14.144;1.980;0.000;0.998;-45.279;0.022;-2.134;14.379;0.000;0.998;-46.180
0483;-1.988;13.902;1.988;0.000;0.999;-60.202;0.010;-2.055;14.005;0.000;0.999;-59.063
0484;-1.955;13.703;1.955;0.000;0.994;-18.324;0.017;-2.075;13.887;0.000;0.994;-17.041
0485;-2.006;14.964;2.006;0.000;0.991;-3.706;0.018;-2.131;15.154;0.000;0.991;-2.183
0486;-1.936;14.479;1.936;0.000;0.998;-46.243;-0.022;-1.781;14.244;0.000;0.998;-47.245
0487;-2.002;14.766;2.002;0.000;0.999;-69.705;-0.001;-1.993;14.752;0.000;0.999;-67.727
0489;-1.909;13.363;1.909;0.000;1.000;-113.779;-0.008;-1.854;13.279;0.000;1.000;-115.242
0490;-1.942;14.054;1.942;0.000;0.996;-30.031;-0.002;-1.925;14.028;0.000;0.996;-28.051
0491;-1.835;13.174;1.835;0.000;0.998;-55.650;-0.005;-1.799;13.119;0.000;0.998;-53.865
0492;-1.916;13.974;1.916;0.000;0.998;-61.724;0.026;-2.093;14.244;0.000;0.999;-66.632
0493;-1.990;16.147;1.990;0.000;0.999;-81.554;0.021;-2.133;16.365;0.000;0.999;-88.394
0494;-1.958;15.083;1.958;0.000;0.999;-77.039;0.002;-1.970;15.102;0.000;0.999;-75.088
0495;-1.949;14.857;1.949;0.000;0.998;-50.690;0.001;-1.957;14.869;0.000;0.998;-48.700
0496;-1.780;13.178;1.780;0.000;0.998;-54.972;-0.018;-1.657;12.990;0.000;0.998;-55.467
0497;-2.001;15.466;2.001;0.000;0.999;-63.359;0.005;-2.039;15.523;0.000;0.999;-61.655
0498;-1.939;14.861;1.939;0.000;0.997;-41.250;0.060;-2.354;15.492;0.000;0.999;-65.026
0499;-1.952;13.411;1.952;0.000;0.998;-45.589;-0.005;-1.915;13.354;0.000;0.998;-43.754
0501;-1.931;13.860;1.931;0.000;0.998;-60.276;0.028;-2.128;14.160;0.000;0.999;-66.609
0502;-1.737;13.684;1.737;0.000;0.995;-30.717;0.076;-2.262;14.484;0.000;0.998;-60.866
0503;-1.792;13.174;1.792;0.000;0.999;-67.157;0.010;-1.860;13.277;0.000;0.999;-66.250
0504;-1.970;13.985;1.970;0.000;0.999;-77.247;-0.001;-1.965;13.977;0.000;0.999;-75.255
0505;-1.991;16.510;1.991;0.000;1.000;-117.500;-0.005;-1.960;16.461;0.000;1.000;-116.719
0506;-1.977;14.388;1.977;0.000;0.996;-27.010;0.020;-2.119;14.604;0.000;0.996;-26.331
0507;-1.749;12.509;1.749;0.000;0.998;-58.576;0.014;-1.848;12.660;0.000;0.998;-58.385
0509;-2.003;14.315;2.003;0.000;0.994;-16.460;0.030;-2.209;14.628;0.000;0.994;-16.458
0510;-1.946;14.866;1.946;0.000;0.998;-46.877;0.003;-1.967;14.897;0.000;0.998;-44.928
0511;-1.957;14.109;1.957;0.000;0.999;-82.382;-0.025;-1.787;13.850;0.000;1.000;-94.222
0512;-2.024;14.398;2.024;0.000;0.996;-29.610;0.016;-2.136;14.569;0.000;0.996;-28.498
0513;-1.968;15.341;1.968;0.000;0.995;-21.827;-0.014;-1.869;15.191;0.000;0.995;-20.364
0515;-1.960;14.808;1.960;0.000;0.999;-69.879;0.007;-2.010;14.885;0.000;0.999;-68.533
0516;-2.023;14.931;2.023;0.000;0.996;-28.413;0.036;-2.275;15.314;0.000;0.997;-31.003
0517;-1.943;14.719;1.943;0.000;0.995;-25.259;-0.001;-1.934;14.706;0.000;0.995;-23.263
0518;-1.982;15.153;1.982;0.000;0.994;-16.771;0.017;-2.101;15.335;0.000;0.994;-15.437
